Occupation Title,,Median Annual Wage 2018,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Typical on-the-job Training
Animal trainers    * Animal Trainer* Dog Handler* Dog Trainer* Dolphin Trainer* Guide Dog Instructor* Guide Dog Mobility Instructor* Guide Dog Trainer* Horse Breaker* Licensed Guide Dog Instructor* Lion Trainer* Marine Mammal Trainer* Seeing Eye Dog Trainer,,"29,290",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Anthropologists and archeologists    * Anthropologist* Applied Anthropologist* Archaeologist* Ethnoarchaeologist* Medical Anthropologist* Physical Anthropologist* Political Anthropologist* Research Anthropologist* Research Archaeologist,,"62,410",Master's degree,2,None,None
"Anthropology and archeology teachers, postsecondary    * Cultural Anthropology Professor* Ethnoarchaeology Professor* Near East Archeology Professor* Paleology Professor* Sociocultural Anthropology Professor",,"83,940",Doctoral or professional degree,1,None,None
Appraisers and assessors of real estate    * Assessor* City Assessor* County Assessor* Land Appraiser* Personal Property Assessor* Property Appraiser* Real Estate Appraiser* Real Estate Assessor* Real Property Evaluator* Residential Fee Appraiser* Tax Assessor,,"54,980",Bachelor's degree,3,None,Long-term on-the-job training
"Arbitrators, mediators, and conciliators    * Alternative Dispute Resolution Coordinator* Mediation Commissioner* Ombudsman",,"62,270",Bachelor's degree,3,Less than 5 years,Moderate-term on-the-job training
"Architects, except landscape and naval    * Building Architect* Building Architectural Designer* Structural Architect",,"79,380",Bachelor's degree,3,None,Internship/residency
Architectural and civil drafters    * Architectural Drafter* Building Drafter* Civil Computer-Aided Design and Drafting Technician* Civil Drafter* Structural Drafter,,"54,920",Associate's degree,4,None,None
Architectural and engineering managers    * Electrical Engineering Director* Engineering Design Manager* Engineering Manager* Engineering Research Manager* Global Engineering Manager* Mechanical Engineering Director* Process Engineering Manager,,"140,760",Bachelor's degree,3,5 years or more,None
"Architecture teachers, postsecondary    * Architectural Design Professor* Architecture Professor* Interior Design Professor* Landscape Architecture Professor",,"86,980",Doctoral or professional degree,1,None,None
Archivists    * Archivist* Digital Archivist* Film Archivist* Historical Records Administrator* Image Archivist* Museum Archivist* Processing Archivist* Reference Archivist* State Archivist,,"52,240",Master's degree,2,None,None
"Area, ethnic, and cultural studies teachers, postsecondary    * African Studies Professor* Asian Studies Professor* Black Studies Professor* Ethnology Professor* Gender Studies Professor* Latin American Studies Professor* Women's Studies Professor",,"74,440",Doctoral or professional degree,1,None,None
Art directors    * Art Director* Magazine Designer,,"92,780",Bachelor's degree,3,5 years or more,None
"Art, drama, and music teachers, postsecondary    * Ballet Professor* Graphic Design Professor* Music Professor* Photography Professor* Piano Performance and Pedagogy Professor* Piano Professor* Scene and Lighting Design Lecturer* Stagecraft Professor* Theatre Professor* Voice Professor",,"69,960",Master's degree,2,None,None
"Artists and related workers, all other    * Calligrapher* Tattoo Artist",,"65,390",No formal educational credential,8,None,Long-term on-the-job training
"Assemblers and fabricators, all other, including team assemblers",,"31,540",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Astronomers    * Astronomer* Astrophysicist,,"105,680",Doctoral or professional degree,1,None,None
Athletes and sports competitors    * All Terrain Vehicle Racer* Athlete* Auto Racer* Baseball Pitcher* Baseball Player* Basketball Player* Bicycle Racer* Bicyclist* Billiard Player* Bowler* Bull Rider* Car Racer* Cyclist* Dirt Bike Racer* Drag Car Racer* Figure Skater* Football Player* Golfer* Hockey Player* Horse Racer* Ice Skater* Jockey* Kick Boxer* Motocross Racer* National Association for  Stock Car Auto Racing Driver* Prize Fighter* Professional Bass Fisher* Professional Soccer Player* Pugilist* Race Car Driver* Roller Skater* Skater* Skier* Snowboarder* Softball Player* Stock Car Driver* Surfer* Swimmer* Tennis Player* Volleyball Player* Wrestler,,"50,650",No formal educational credential,8,None,Long-term on-the-job training
Athletic trainers    * Athletic Trainer* Certified Athletic Trainer* Clinical Athletic Instructor* Resident Athletic Trainer,,"47,510",Bachelor's degree,3,None,None
Atmospheric and space scientists    * Atmospheric Chemist* Atmospheric Scientist* Climatologist* Hurricane Tracker* Meteorologist* Oceanographic Meteorologist* Space Scientist* Storm Chaser* Tornado Chaser* Warning Coordination Meteorologist* Weather Analyst* Weather Forecaster* Weatherman,,"94,110",Bachelor's degree,3,None,None
"Atmospheric, earth, marine, and space sciences teachers, postsecondary    * Climatology Professor* Earth Science Professor* Geology Professor* Geoscience Professor* Meteorology Professor* Mineralogy Professor* Oceanic Sciences Professor* Oceanography Professor* Volcanology Professor",,"90,860",Doctoral or professional degree,1,None,None
Audio and video equipment technicians    * Audio-Visual Production Specialist* Event AV Operator* Event Crew Technician* Multimedia Production Assistant* Video Control Operator* Video Equipment Technician* Video Production Assistant,,"43,770",Postsecondary nondegree award,5,None,Short-term on-the-job training
Audio-visual and multimedia collections specialists    * Audio-Visual Collections Coordinator* Library Media Specialist* Multimedia Services Coordinator,,"49,600",Bachelor's degree,3,Less than 5 years,None
Audiologists    * Audiologist* Clinical Audiologist* Dispensing Audiologist* Educational Audiologist* Hearing Therapist* Licensed Audiologist* Pediatric Audiologist,,"75,920",Doctoral or professional degree,1,None,None
Automotive and watercraft service attendants    * Auto Service Station Attendant* Gas Pump Attendant* Gas Station Attendant* Gas and Oil Servicer* Oil Changer* Pump Jockey* Service Station Attendant,,"24,200",No formal educational credential,8,None,Short-term on-the-job training
Automotive body and related repairers    * Auto Body Customizer* Auto Body Technician* Auto Body Worker* Auto Bumper Straightener* Body Shop Worker* Body and Frame Technician* Car Refinisher* Truck Body Repairer* Vehicle Body Sander,,"42,730",High school diploma or equivalent,7,None,Long-term on-the-job training
Automotive glass installers and repairers    * Auto Glass Installer* Auto Glass Mechanic* Automotive Glass Technician* Automotive Glazier* Windshield Installer* Windshield Repair Technician,,"34,170",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Automotive service technicians and mechanics    * Auto Clutch Rebuilder* Auto Clutch Specialist* Auto Radiator Specialist* Auto Suspension and Steering Mechanic* Auto Transmission Specialist* Automotive Alignment Specialist* Automotive Brake Adjuster* Automotive Brake Specialist* Automotive Brake Technician* Automotive Fuel Injection Servicer* Automotive Fuel Systems Converter* Automotive Specialty Technician* Hybrid Car Mechanic* Motor Tune-Up Specialist,,"40,710",Postsecondary nondegree award,5,None,Short-term on-the-job training
Avionics technicians    * Aircraft Armament Mechanic* Aircraft Electrician* Aircraft Instrument Mechanic* Airplane Electrician* Automatic Pilot Mechanic* Aviation Electronics Technician* In-Flight Refueling System Repairer,,"64,140",Associate's degree,4,None,None
Baggage porters and bellhops    * Baggage Porter* Bell Staff* Bellperson* Bellstaff* Hotel Baggage Handler* Luggage Attendant* Redcap* Skycap,,"24,210",High school diploma or equivalent,7,None,Short-term on-the-job training
Bailiffs    * Bailiff* City Bailiff* County Bailiff* Court Bailiff* Court Officer* Court Security Officer* Deputy Bailiff,,"45,760",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Bakers    * Bagel Maker* Bread Baker* Dough Maker* Pastry Baker* Pastry Finisher* Pie Baker* Pie Maker,,"26,520",No formal educational credential,8,None,Long-term on-the-job training
Barbers    * Barber* Barber Apprentice* Master Barber,,"27,960",Postsecondary nondegree award,5,None,None
Bartenders    * Barkeep* Bartender* Drink Mixer* Mixologist* Taproom Attendant,,"22,550",No formal educational credential,8,None,Short-term on-the-job training
Bicycle repairers    * Bicycle Mechanic* Bicycle Repairer* Bicycle Service Technician* Bike Mechanic,,"28,960",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Bill and account collectors    * Accounts Collector* Bill Collector* Billing Representative* Collection Agent* Collections Clerk* Collections Representative* Debt Collector* Installment Agent* Installment Loan Collector* Insurance Collector* Payment Collector* Repossessor,,"36,020",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Billing and posting clerks    * Billing Clerk* Invoice Clerk* Invoice Control Clerk* Patient Account Representative* Posting Clerk* Statement Clerk* Statement Distribution Clerk* Statement Processor,,"37,800",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Biochemists and biophysicists    * Biochemist* Biological Chemist* Biophysicist* Clinical Biochemist* Physical Biochemist,,"93,280",Doctoral or professional degree,1,None,None
"Biological science teachers, postsecondary    * Anatomy Professor* Bacteriology Professor* Biochemistry Professor* Botany Professor* Embryology Professor* Microbiology Professor* Zoology Professor",,"82,550",Doctoral or professional degree,1,None,None
"Biological scientists, all other    * Biologist* Bryologist* Embryologist* Osteologist* Paleobotanist* Phytopathologist* Plant Etiologist",,"79,590",Bachelor's degree,3,None,None
Biological technicians    * Bacteriology Technician* Biochemistry Technician* Biology Laboratory Assistant* Marine Fisheries Technician* Microbiology Technician* Wildlife Technician,,"44,500",Bachelor's degree,3,None,None
Biomedical engineers    * Bio-Mechanical Engineer* Biochemical Engineer* Biomaterials Engineer* Biomedical Engineer* Dialysis Engineer* Genetic Engineer,,"88,550",Bachelor's degree,3,None,None
Boilermakers    * Boiler Fitter* Boiler Installer* Boiler Mechanic* Boiler Setter* Boiler Tester* Boilermaker* Boilermaker Mechanic,,"62,150",High school diploma or equivalent,7,None,Apprenticeship
"Bookkeeping, accounting, and auditing clerks    * Accounts Receivable Assistant* Accounts Receivable Clerk* Auditing Clerk* Bookkeeper* Fixed Capital Clerk* Foreign Exchange Position Clerk* Mortgage Accounting Clerk",,"40,240","Some college, no degree",6,None,Moderate-term on-the-job training
Brickmasons and blockmasons    * Adobe Layer* Block Layer* Blockmason* Brick Chimney Builder* Brick Setter* Bricklayer* Brickmason* Brickmason Apprentice* Firebrick Layer* Furnace Mason* Pottery Kiln Builder* Refractory Bricklayer,,"50,950",High school diploma or equivalent,7,None,Apprenticeship
Bridge and lock tenders    * Bridge Operator* Bridge Tender* Dam Tender* Lighthouse Keeper* Lock and Dam Operator,,"50,320",High school diploma or equivalent,7,None,Short-term on-the-job training
Broadcast news analysts    * News Anchor* News Commentator* Newscaster,,"66,880",Bachelor's degree,3,None,None
Broadcast technicians    * Audio Engineer* Broadcast Engineer* Broadcast Maintenance Engineer* Broadcast Operations Engineer* Radio Station Audio Engineer* Radio/Television Technician* Remote Broadcast Engineer* Telecasting Engineer* Television Audio Engineer,,"40,080",Associate's degree,4,None,Short-term on-the-job training
Brokerage clerks    * Brokerage Clerk* Brokerage Purchase-and-Sale Clerk* Commodities Clerk* Dividend Clerk* Securities Clerk,,"51,400",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Budget analysts    * Budget Analyst* Budget Coordinator* Budget Examiner* Budget Officer* Cost Analyst,,"76,220",Bachelor's degree,3,None,None
"Building cleaning workers, all other    * Building Pressure Washer* Chimney Sweep* Chimney Sweeper",,"29,260",No formal educational credential,8,None,Short-term on-the-job training
Bus and truck mechanics and diesel engine specialists    * Biodiesel Engine Specialist* Diesel Engine Fitter* Diesel Service Technician* Marine Diesel Technician* School Bus Mechanic* Tractor Trailer Mechanic* Truck Engine Technician,,"47,350",High school diploma or equivalent,7,None,Long-term on-the-job training
"Bus drivers, school or special client    * School Bus Driver* School Bus Operator* Special Education Bus Driver",,"32,420",High school diploma or equivalent,7,None,Short-term on-the-job training
"Bus drivers, transit and intercity    * Charter Coach Driver* Motor Coach Bus Driver* Motor Coach Driver* Motor Coach Tour Operator* Public Transit Bus Driver* Public Transit Trolley Driver",,"42,080",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Business operations specialists, all other    * Mystery Shopper* Ship Purser",,"70,530",Bachelor's degree,3,None,None
"Business teachers, postsecondary    * Accounting Professor* Banking and Finance Instructor* Business Administration Professor* Finance Professor* Management Professor* Marketing Instructor* Marketing Professor",,"83,960",Doctoral or professional degree,1,None,None
Butchers and meat cutters    * Butcher* Butcher Apprentice* Halal Butcher* Kosher Butcher* Meat Carver* Meat Clerk* Meat Counter Worker,,"31,580",No formal educational credential,8,None,Long-term on-the-job training
Buyers and purchasing agents,,"62,750",Bachelor's degree,3,None,Moderate-term on-the-job training
Cabinetmakers and bench carpenters    * Cabinet Builder* Cabinetmaker* Marquetry Worker* Wood Furniture Assembler* Wood Working Assembler,,"34,740",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Camera and photographic equipment repairers    * Aircraft Photographic Equipment Repairer* Camera Machinist* Camera Repair Technician* Camera Repairer* Photographic Equipment Technician,,"40,620",High school diploma or equivalent,7,None,Long-term on-the-job training
"Camera operators, television, video, and motion picture    * Cinematographer* Electronic News Gathering Camera Operator* Motion Picture Camera Operator* Movie Shot Camera Operator* News Camera Operator* News Videographer* Television Camera Operator* Video Camera Operator",,"54,570",Bachelor's degree,3,None,None
"Captains, mates, and pilots of water vessels    * Barge Captain* Barge Master* Boat Pilot* Car Ferry Captain* Car Ferry Master* Coastal Tug Mate* Deck Officer* Docking Pilot* Ferry Boat Captain* Ferry Captain* Ferryboat Captain* First Mate* Harbor Boat Pilot* Harbor Pilot* Harbor Tug Captain* Port Captain* River Boat Captain* River Pilot* Sailboat Captain* Ship Harbor Pilot* Tow Boat Captain* Towboat Pilot* Tug Boat Captain* Tugboat Captain* Tugboat Mate* Tugboat Operator* Tugboat Pilot",,"69,180",Postsecondary nondegree award,5,Less than 5 years,None
Cardiovascular technologists and technicians    * Cardiac Catheterization Laboratory Technologist* Cardiac Catheterization Technologist* Cardiac Monitor Technician* Cardiac Technician* Cardiopulmonary Technologist* Cardiovascular Interventional Technologist* Cardiovascular Technologist* EKG Technician* Echocardiogram Technician* Echocardiographer* Echocardiographic Technologist* Echocardiography Technician* Echocardiology Technologist* Electrocardiogram Technician* Electrocardiograph Operator* Pulmonary Function Technologist,,"56,850",Associate's degree,4,None,None
"Career/technical education teachers, middle school    * Middle School Vocational Education Teacher",,"59,230",Bachelor's degree,3,Less than 5 years,None
"Career/technical education teachers, secondary school    * High School Auto Repair Teacher* High School Vocational Education Teacher",,"60,250",Bachelor's degree,3,Less than 5 years,None
Cargo and freight agents    * Cargo Agent* Cargo Router* Freight Agent* Freight Shipping Agent* Ramp Service Agent,,"43,210",High school diploma or equivalent,7,None,Short-term on-the-job training
Carpenters    * Beam Builder* Building Carpenter* Construction Carpenter* Counter Installer* Custom Wood Stair Builder* Finish Carpenter* Hardwood Floor Installer* House Carpenter* Wood Floor Layer,,"46,590",High school diploma or equivalent,7,None,Apprenticeship
Carpet installers    * Carpet Installer* Carpet Layer* Commercial Carpet Installer* Residential Carpet Installer* Wall-to-Wall Carpet Installer,,"39,340",No formal educational credential,8,None,Short-term on-the-job training
"Cartographers and photogrammetrists    * Cadastral Mapper* Digital Cartographer* Engineer, Photogrammetric* Map Maker* Mapper* Orthophotography Technician* Photo Cartographer* Photogrammetrist* Topographer",,"64,430",Bachelor's degree,3,None,None
Cashiers    * Cash Register Operator* Check Out Cashier* Fare Collector* Grocery Checker* Hotel  Dining Room Cashier* Snack Bar Cashier* Toll Booth Operator* Toll Collector,,"22,430",No formal educational credential,8,None,Short-term on-the-job training
Cement masons and concrete finishers    * Cement Mason* Cement Patcher* Concrete Finisher* Concrete Floor Installer* Concrete Mason* Concrete Smoother* Concrete Swimming Pool Installer,,"43,000",No formal educational credential,8,None,Moderate-term on-the-job training
Chefs and head cooks    * Banquet Chef* Chef De Cuisine* Chef De Froid* Executive Chef* Head Chef* Kitchen Chef* Master Chef* Pastry Chef* Sous Chef* Sushi Chef,,"48,460",High school diploma or equivalent,7,5 years or more,None
Chemical engineers    * Absorption and Adsorption Engineer* Chemical Process Engineer* Chemical Research Engineer* Fuels Engineer* Oxidation Engineer* Plastics Engineer* Polymerization Engineer* Refinery Process Engineer,,"104,910",Bachelor's degree,3,None,None
Chemical equipment operators and tenders    * Acid Purification Equipment Operator* Chemical Machine Tender* Chemical Process Equipment Operator* Chemical Processor* Chemical Treatment Operator,,"48,770",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Chemical plant and system operators    * Chemical Plant Operator* Chemical Treatment Plant Technician* Nitric Acid Plant Operator* Nitrogen Operator* Pharmaceutical Manufacturing Machine Operator,,"62,060",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Chemical technicians    * Assayer* Chemical Laboratory Technician* Chemical Technician* Inorganic Chemical Technician,,"48,160",Associate's degree,4,None,Moderate-term on-the-job training
"Chemistry teachers, postsecondary    * Chemistry Professor* Inorganic Chemistry Professor* Organic Chemistry Professor* Physical Chemistry Professor* Phytochemistry Professor",,"79,550",Doctoral or professional degree,1,None,None
Chemists    * Agricultural Chemist* Analytical Chemist* Bench Chemist* Food Chemist* Formulary Chemist* Industrial Chemist* Inorganic Chemist* Laboratory Chemist* Nuclear Chemist* Organic Chemist* Quality Control Chemist* Research and Development Chemist,,"76,890",Bachelor's degree,3,None,None
Chief executives    * CEO* COO* Chief Executive Officer* Chief Operating Officer* Commissioner of Internal Revenue* County Commissioner* Government Service Executive* Governor* Mayor,,"189,600",Bachelor's degree,3,5 years or more,None
"Child, family, and school social workers    * C-CYFSW* Certified Children, Youth, and Family Social Worker* Child Abuse Worker* Child Protective Services Social Worker* Child Protective Services Specialist* Child Welfare Social Worker* Child Welfare Worker* Child and Family Services Worker* Family Preservation Caseworker* Family Preservation Worker* Family Service Caseworker* Foster Care Social Worker* Foster Care Worker* School Social Worker",,"46,270",Bachelor's degree,3,None,None
Childcare workers    * Au Pair* Baby Sitter* Before and After School Daycare Worker* Childcare Aide* Childcare Attendant* Childcare Worker* Day Care Attendant* Day Care Worker* Daycare Aide* Daycare Provider* Governess* Nanny* Nursery Day Care Worker* Playground Aide,,"23,240",High school diploma or equivalent,7,None,Short-term on-the-job training
Chiropractors    * Chiropractic Doctor* Chiropractic Physician* Chiropractor,,"71,410",Doctoral or professional degree,1,None,None
Choreographers    * Choreographer* Dance Director* Dance Master,,"47,800",High school diploma or equivalent,7,5 years or more,Long-term on-the-job training
Civil engineering technicians    * Civil Engineering Technician* Concrete Engineering Technician* Geotechnical Engineering Technician* Highway Engineering Technician* Structural Engineering Technician* Transportation Engineering Technician,,"52,580",Associate's degree,4,None,None
Civil engineers    * Architectural Engineer* Bridge Engineer* Civil Engineer* Construction Engineer* Facilities Engineer* Geotechnical Engineer* Highway Engineer* Hydrographic Engineer* Railroad Design Consultant* Research Hydraulic Engineer* Structural Engineer,,"86,640",Bachelor's degree,3,None,None
"Claims adjusters, examiners, and investigators    * Claims Analyst* Fire Claims Adjuster* Health Claims Examiner* Health Insurance Adjuster* Independent Insurance Adjuster* Medical Claims Analyst* Medical Claims Examiner* Property Damage Claims Adjustor* Property and Casualty Insurance Claims Examiner* Reinsurance Claims Analyst* Workers Compensation Claims Adjuster* Workers Compensation Claims Examiner",,"65,900",High school diploma or equivalent,7,None,Long-term on-the-job training
Cleaners of vehicles and equipment    * Aircraft Cleaner* Auto Cleaner* Auto Detailer* Automobile Detailer* Beer Coil Cleaner* Boat Detailer* Bus Cleaner* Bus Washer* Car Wash Attendant* Car Washer* Equipment Cleaner* Machine Cleaner* Railroad Car Cleaner* Truck Washer,,"24,530",No formal educational credential,8,None,Short-term on-the-job training
"Cleaning, washing, and metal pickling equipment operators and tenders    * Acid Dipper* Bottle Washing Machine Operator* Degreaser Operator* Glass Cleaning Machine Tender* Immersion Metal Cleaner* Metal Pickling Equipment Operator* Pickle House Operator",,"30,790",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Clergy    * Cantor* Children's Pastor* College Chaplain* Hebrew Cantor* Hospital Chaplain* Imam* Minister* Parish Priest* Pastor* Priest* Rabbi* Reverend* Vicar* Youth Pastor,,"48,990",Bachelor's degree,3,None,Moderate-term on-the-job training
Clinical laboratory technologists and technicians,,"52,330",Bachelor's degree,3,None,None
"Clinical, counseling, and school psychologists    * Child Psychologist* Child Psychometrist* Clinical Psychologist* Eating Disorder Psychologist* Educational Psychologist* Geropsychologist* Pediatric Psychologist* School Psychologist* School Psychometrist* Vocational Psychologist",,"76,990",Doctoral or professional degree,1,None,Internship/residency
Coaches and scouts    * Athletic Coach* Baseball Coach* Baseball Scout* Basketball Coach* Boxing Trainer* Coach* Football Coach* Hockey Scout* Ice Skating Coach* Riding Coach* Ski Coach* Tennis Coach* Tennis Instructor,,"33,780",Bachelor's degree,3,None,None
"Coating, painting, and spraying machine setters, operators, and tenders    * Electrostatic Paint Operator* Lacquer Spray Booth Operator* Paint Line Operator* Spraying Machine Operator",,"34,800",High school diploma or equivalent,7,None,Moderate-term on-the-job training
